aarch64-198: 09/01 14:26:52 | INFO | [pytest_runtest_setup]: 
aarch64-198: 09/01 14:26:58 | DEBUG | [window_left_bottom_position]: 窗口左下角坐标 (425, 880)
aarch64-198: 09/01 14:26:58 | DEBUG | [btn_center_by_left_bottom]: 左下角按钮的中心坐标 (866.0, 662.0)
aarch64-198: 09/01 14:26:58 | DEBUG | [btn_center]: [扫描] 坐标：866.0, 662.0)
aarch64-198: 09/01 14:26:58 | DEBUG | [move_to]: 鼠标移动至 ((866.0, 662.0), 速度：0.4)
aarch64-198: 09/01 14:26:59 | DEBUG | [click]: 点击坐标 Point(x=866, y=662)
aarch64-198: 09/01 14:26:59 | INFO | [pytest_runtest_call]: ========== case body ==========
aarch64-198: 09/01 14:26:59 | INFO | [click_cd_btn_in_music_by_ui]: 点击专辑
aarch64-198: 09/01 14:27:01 | DEBUG | [press_key]: 点击键盘上指定的按键<esc>, 间隔<0.0>
aarch64-198: 09/01 14:27:02 | DEBUG | [window_left_top_position]: 窗口左上角坐标 (425, 200)
aarch64-198: 09/01 14:27:02 | DEBUG | [btn_center_by_left_top]: 左上角按钮的中心坐标 (553.0, 318.0)
aarch64-198: 09/01 14:27:02 | DEBUG | [btn_center]: [专辑按钮] 坐标：553.0, 318.0)
aarch64-198: 09/01 14:27:02 | DEBUG | [move_to]: 鼠标移动至 ((553.0, 318.0), 速度：0.4)
aarch64-198: 09/01 14:27:03 | DEBUG | [click]: 点击坐标 Point(x=553, y=318)
aarch64-198: 09/01 14:27:03 | INFO | [click_icon_mode_in_music_by_ui]: 矩阵模式
aarch64-198: 09/01 14:27:05 | DEBUG | [press_key]: 点击键盘上指定的按键<esc>, 间隔<0.0>
aarch64-198: 09/01 14:27:05 | DEBUG | [window_location_and_sizes]: 窗口左上角坐标 (425, 200),获取窗口大小 1070*680
aarch64-198: 09/01 14:27:05 | DEBUG | [window_right_top_position]: 窗口右上角坐标 (1495, 200)
aarch64-198: 09/01 14:27:05 | DEBUG | [btn_center_by_right_top]: 右上角按钮的中心坐标 (1385.0, 288.0)
aarch64-198: 09/01 14:27:05 | DEBUG | [btn_center]: [矩阵按钮] 坐标：1385.0, 288.0)
aarch64-198: 09/01 14:27:05 | DEBUG | [move_to]: 鼠标移动至 ((1385.0, 288.0), 速度：0.4)
aarch64-198: 09/01 14:27:06 | DEBUG | [click]: 点击坐标 Point(x=1385, y=288)
aarch64-198: 09/01 14:27:06 | INFO | [assert_image_exist]: 屏幕上匹配图片< ***t_deepin_music/case/assert_res/music_003 >
aarch64-198: 09/01 14:27:07 | INFO | ***epin_music/case/assert_res/music_003.png | 坐标:(720, 402) | 相似度:99.43%
aarch64-198: 09/01 14:27:07 | INFO | [pytest_runtest_teardown]: ========== teardown ==========
aarch64-198: 09/01 14:27:07 | INFO | [clean_music_app_by_cmd]: 删除音乐的数据库
aarch64-198: 09/01 14:27:07 | INFO | [close_music_and_clean_sqlite_by_cmd]: 关闭音乐
aarch64-198: 09/01 14:27:07 | INFO | [delete_music_sqlite_by_cmd]: 删除音乐的数据库
aarch64-198: 09/01 14:27:07 | DEBUG | [run_cmd]: rm -rf /home/uos/.cache/deepin/deepin-music/mediameta.sqlite
aarch64-198: 09/01 14:27:07 | INFO | [esc]: esc
aarch64-198: 09/01 14:27:07 | DEBUG | [press_key]: 点击键盘上指定的按键<esc>, 间隔<0.0>
aarch64-198: 09/01 14:27:08 | DEBUG | [sleep]: sleep 1 s [aarch64 * 1.5 = 1.5]
aarch64-198: 09/01 14:27:09 | DEBUG | [clean_music]: Clean All
aarch64-198: 09/01 14:27:10 | DEBUG | [run_cmd]: rm -rf ~/.config/deepin/dde-file-manager.json
